Customer ID,Last Purchase Date,Total Number of Purchases,Total Spend (Monetary Value),Account Created Date
C00049,2024-07-08 17:29:59.452452,6,109.78997629274149,2023-11-13 17:29:59.452452
C00050,2023-12-10 17:29:59.452452,5,139.5132434934066,2024-03-25 17:29:59.452452
C00051,2021-10-30 17:29:59.452452,3,73.93770109855856,2020-07-01 17:29:59.452452
C00052,2022-11-17 17:29:59.452452,5,415.8663361107142,2024-02-22 17:29:59.452452
C00053,2022-04-26 17:29:59.452452,3,94.1867119301443,2024-08-13 17:29:59.452452
C00054,2023-03-07 17:29:59.452452,8,611.9066303706047,2024-04-24 17:29:59.452452
C00055,2024-08-24 17:29:59.452452,6,637.257329354135,2022-03-09 17:29:59.452452
C00056,2022-07-03 17:29:59.452452,5,685.3802193556978,2024-03-24 17:29:59.452452
C00057,2024-04-10 17:29:59.452452,1,381.448276174943,2024-04-19 17:29:59.452452
C00058,2024-07-29 17:29:59.452452,2,295.02019015170634,2024-08-13 17:29:59.452452
C00059,2024-01-14 17:29:59.452452,2,78.04069530014212,2024-03-07 17:29:59.452452
C00060,2023-11-12 17:29:59.452452,1,81.06067139737726,2022-08-10 17:29:59.452452
C00061,2023-10-31 17:29:59.452452,1,759.6719516204107,2020-07-06 17:29:59.452452
C00062,2024-02-01 17:29:59.452452,3,106.19510614725787,2020-04-29 17:29:59.452452
C00063,2023-03-05 17:29:59.452452,5,185.717814595478,2022-12-29 17:29:59.452452
C00064,2023-11-17 17:29:59.452452,2,100.36536491728538,2023-08-05 17:29:59.452452
C00065,2024-02-04 17:29:59.452452,8,503.9616154431824,2023-06-16 17:29:59.452452
C00066,2023-11-28 17:29:59.452452,3,73.18482724909018,2024-10-07 17:29:59.452452
C00067,2024-04-19 17:29:59.452452,8,405.2073220585092,2024-06-13 17:29:59.452452
C00068,2023-02-27 17:29:59.452452,10,209.1218812959104,2023-04-21 17:29:59.452452
C00069,2024-05-27 17:29:59.452452,2,862.8776656534499,2023-11-06 17:29:59.452452
C00070,2022-07-20 17:29:59.452452,10,119.23978173171854,2023-07-02 17:29:59.452452
C00071,2023-04-12 17:29:59.452452,7,247.56576849906864,2024-04-07 17:29:59.452452
C00072,2023-12-30 17:29:59.452452,3,958.9227340316902,2024-01-14 17:29:59.452452
C00073,2024-04-14 17:29:59.452452,10,152.61653750051818,2024-04-18 17:29:59.452452
C00074,2023-04-07 17:29:59.452452,3,166.29644059234414,2024-07-12 17:29:59.452452
C00075,2023-01-23 17:29:59.452452,3,181.479871076995,2024-04-17 17:29:59.452452
C00076,2023-09-16 17:29:59.452452,5,362.53090365953017,2022-05-13 17:29:59.452452
C00077,2023-02-21 17:29:59.452452,3,106.80368737800688,2020-09-23 17:29:59.452452
C00078,2024-09-03 17:29:59.452452,2,786.3862309870426,2023-11-18 17:29:59.452452
C00079,2023-11-13 17:29:59.452452,9,241.0366867780016,2021-01-18 17:29:59.452452
C00080,2024-08-14 17:29:59.452452,7,353.5955242685191,2022-07-01 17:29:59.452452
C00081,2023-08-29 17:29:59.452452,4,387.1543907182679,2023-03-12 17:29:59.452452
C00082,2023-01-03 17:29:59.452452,6,634.4771349482832,2019-11-05 17:29:59.452452
C00083,2024-07-07 17:29:59.452452,9,325.66778017825163,2023-06-09 17:29:59.452452
C00084,2024-02-10 17:29:59.452452,2,57.98262011553822,2023-06-02 17:29:59.452452
C00085,2023-12-30 17:29:59.452452,9,145.8188395642518,2024-09-11 17:29:59.452452
C00086,2024-05-31 17:29:59.452452,3,998.1709154774564,2021-12-01 17:29:59.452452
C00087,2023-04-20 17:29:59.452452,7,265.6955908200746,2024-08-24 17:29:59.452452
C00088,2023-02-23 17:29:59.452452,5,284.74693771109526,2023-04-04 17:29:59.452452
C00089,2023-08-31 17:29:59.452452,8,505.2635964529226,2024-01-05 17:29:59.452452
C00090,2024-07-19 17:29:59.452452,10,245.4754564766401,2021-01-29 17:29:59.452452
C00091,2024-01-28 17:29:59.452452,8,85.0456588545399,2023-07-21 17:29:59.452452
C00092,2023-09-23 17:29:59.452452,6,966.7023299792224,2024-07-17 17:29:59.452452
C00093,2023-03-23 17:29:59.452452,7,485.6569610920236,2021-07-18 17:29:59.452452
C00094,2023-11-05 17:29:59.452452,6,65.88793186467248,2024-04-07 17:29:59.452452
C00095,2023-02-02 17:29:59.452452,1,398.9091452866806,2022-08-28 17:29:59.452452
C00096,2023-10-24 17:29:59.452452,4,215.29716717171118,2020-11-08 17:29:59.452452
C00097,2024-03-17 17:29:59.452452,2,233.0695624572209,2022-07-30 17:29:59.452452
C00098,2024-04-30 17:29:59.452452,8,534.6695752600544,2023-09-17 17:29:59.452452
C00099,2024-02-22 17:29:59.452452,3,70.80362370865572,2024-07-29 17:29:59.452452
C00100,2023-11-10 17:29:59.452452,8,192.11566810527185,2023-10-21 17:29:59.452452
C00101,2024-01-24 17:29:59.452452,3,623.5351137731943,2024-08-07 17:29:59.452452
C00102,2023-07-25 17:29:59.452452,1,130.76190414161172,2020-10-19 17:29:59.452452
C00103,2024-03-17 17:29:59.452452,10,704.8966456758866,2024-05-12 17:29:59.452452
C00104,2024-01-24 17:29:59.452452,2,94.77784625291906,2022-12-08 17:29:59.452452
C00105,2022-08-10 17:29:59.452452,1,703.9948643225175,2024-09-18 17:29:59.452452
C00106,2024-06-19 17:29:59.452452,5,708.3343361712316,2024-07-22 17:29:59.452452
C00107,2024-04-27 17:29:59.452452,3,110.68457828752474,2024-02-12 17:29:59.452452
C00108,2023-09-02 17:29:59.452452,4,80.13420250240148,2024-07-22 17:29:59.452452
C00109,2024-05-29 17:29:59.452452,5,996.3231581294222,2022-10-20 17:29:59.452452
C00110,2023-12-20 17:29:59.452452,9,867.5742987995357,2023-02-25 17:29:59.452452
C00111,2024-02-20 17:29:59.452452,2,68.74026567034201,2021-05-25 17:29:59.452452
C00112,2023-12-18 17:29:59.452452,1,103.32699084808806,2023-10-15 17:29:59.452452
C00113,2021-06-17 17:29:59.452452,4,271.9160338542873,2024-02-21 17:29:59.452452
C00114,2023-07-22 17:29:59.452452,2,786.1077748093181,2022-11-13 17:29:59.452452
C00115,2023-07-10 17:29:59.452452,3,170.42126038550754,2024-01-14 17:29:59.452452
C00116,2023-02-19 17:29:59.452452,2,543.1263490873307,2021-04-04 17:29:59.452452
C00117,2023-08-03 17:29:59.452452,6,75.249896454285,2024-08-25 17:29:59.452452
C00118,2024-05-14 17:29:59.452452,7,475.8602352780279,2024-06-08 17:29:59.452452
C00119,2023-08-02 17:29:59.452452,3,799.8708040057468,2023-05-31 17:29:59.452452
C00120,2024-04-29 17:29:59.452452,2,88.11388633320576,2021-05-06 17:29:59.452452
C00121,2023-04-11 17:29:59.452452,5,154.83320606382875,2022-10-21 17:29:59.452452
C00122,2023-01-28 17:29:59.452452,2,885.3239776851941,2021-09-05 17:29:59.452452
C00123,2023-12-17 17:29:59.452452,4,185.68355225109084,2022-01-23 17:29:59.452452
C00124,2024-06-24 17:29:59.452452,1,209.73099599267613,2022-02-13 17:29:59.452452
C00125,2024-06-16 17:29:59.452452,2,295.01323421187305,2023-02-28 17:29:59.452452
C00126,2023-11-23 17:29:59.452452,2,371.3422590238871,2023-01-12 17:29:59.452452
C00127,2022-11-01 17:29:59.452452,2,90.15752124660534,2023-05-09 17:29:59.452452
C00128,2022-12-03 17:29:59.452452,8,271.27524632143286,2020-08-14 17:29:59.452452
C00129,2023-12-25 17:29:59.452452,10,436.7068094601459,2021-03-05 17:29:59.452452
C00130,2024-08-24 17:29:59.452452,4,850.7780034211502,2024-09-12 17:29:59.452452
C00131,2023-12-28 17:29:59.452452,5,849.4359468414148,2024-07-26 17:29:59.452452
C00132,2024-05-11 17:29:59.452452,3,276.3617446808561,2024-07-16 17:29:59.452452
C00133,2024-08-08 17:29:59.452452,5,158.65728603822757,2021-01-21 17:29:59.452452
C00134,2023-11-09 17:29:59.452452,6,183.7768550909356,2024-09-13 17:29:59.452452
C00135,2021-11-06 17:29:59.452452,1,905.5390595672877,2023-03-25 17:29:59.452452
C00136,2024-04-20 17:29:59.452452,3,425.85833731998645,2023-05-26 17:29:59.452452
C00137,2024-08-08 17:29:59.452452,3,89.04809203277128,2023-08-06 17:29:59.452452
C00138,2023-06-04 17:29:59.452452,3,568.8295798314738,2023-03-26 17:29:59.452452
C00139,2024-07-04 17:29:59.452452,5,533.0596965387572,2023-09-16 17:29:59.452452
C00140,2021-06-22 17:29:59.452452,7,222.82031256105307,2024-01-24 17:29:59.452452
C00141,2022-04-27 17:29:59.452452,6,111.53834213654275,2023-01-02 17:29:59.452452
C00142,2023-10-13 17:29:59.452452,3,52.130416723412225,2023-05-05 17:29:59.452452
C00143,2023-12-05 17:29:59.452452,3,805.2178309747625,2022-02-13 17:29:59.452452
C00144,2024-07-08 17:29:59.452452,2,213.43153257211478,2020-05-16 17:29:59.452452
C00145,2024-02-21 17:29:59.452452,4,679.9802117376297,2022-02-10 17:29:59.452452
C00146,2024-08-31 17:29:59.452452,2,816.6154319940745,2024-02-29 17:29:59.452452
C00147,2023-03-31 17:29:59.452452,2,211.2638255118923,2020-09-12 17:29:59.452452
C00148,2023-12-04 17:29:59.452452,6,251.3240055959669,2024-01-04 17:29:59.452452
C00149,2024-03-06 17:29:59.452452,2,166.16265575036988,2023-06-11 17:29:59.452452
C00150,2024-05-17 17:29:59.452452,1,437.01614356049663,2021-11-13 17:29:59.452452
C00151,2021-03-18 17:29:59.452452,3,63.44581305841147,2020-05-13 17:29:59.452452
C00152,2024-05-27 17:29:59.452452,3,301.5389608455425,2023-09-17 17:29:59.452452
C00153,2023-10-09 17:29:59.452452,4,144.84693626756984,2024-03-16 17:29:59.452452
C00154,2024-02-19 17:29:59.452452,2,366.6198196882533,2021-03-01 17:29:59.452452
C00155,2022-03-04 17:29:59.452452,1,230.76616458524938,2023-05-11 17:29:59.452452
C00156,2024-01-07 17:29:59.452452,3,277.17795152908315,2024-02-14 17:29:59.452452
C00157,2023-06-24 17:29:59.452452,2,838.2435062182082,2022-01-27 17:29:59.452452
C00158,2022-12-01 17:29:59.452452,9,652.7767303474639,2023-04-13 17:29:59.452452
C00159,2024-08-23 17:29:59.452452,3,964.9390780479196,2023-11-20 17:29:59.452452
C00160,2023-03-09 17:29:59.452452,3,278.49034687866174,2023-10-03 17:29:59.452452
C00161,2024-08-30 17:29:59.452452,5,879.3235941925334,2024-06-16 17:29:59.452452
C00162,2023-06-24 17:29:59.452452,1,470.4006116168574,2023-02-18 17:29:59.452452
C00163,2023-08-15 17:29:59.452452,5,110.10738338774291,2023-02-03 17:29:59.452452
C00164,2024-01-17 17:29:59.452452,3,129.69045778018148,2023-11-28 17:29:59.452452
C00165,2023-12-25 17:29:59.452452,8,367.808132423713,2024-05-02 17:29:59.452452
C00166,2023-04-17 17:29:59.452452,9,72.7297903681636,2023-05-13 17:29:59.452452
C00167,2023-12-29 17:29:59.452452,4,127.60248181445631,2023-10-13 17:29:59.452452
C00168,2024-07-10 17:29:59.452452,5,55.77276870250484,2023-04-15 17:29:59.452452
C00169,2024-07-05 17:29:59.452452,3,219.68753475711273,2023-02-08 17:29:59.452452
C00170,2023-10-08 17:29:59.452452,7,653.9286476677369,2022-11-22 17:29:59.452452
C00171,2023-08-10 17:29:59.452452,2,88.511612718591,2021-06-30 17:29:59.452452
C00172,2024-03-21 17:29:59.452452,1,814.8420662287988,2023-06-18 17:29:59.452452
C00173,2024-06-14 17:29:59.452452,1,178.79642582183874,2022-11-12 17:29:59.452452
C00174,2023-10-17 17:29:59.452452,1,742.6328382320341,2024-06-24 17:29:59.452452
C00175,2022-12-04 17:29:59.452452,5,56.8557951931948,2021-02-07 17:29:59.452452
C00176,2024-04-10 17:29:59.452452,3,147.0093420690496,2023-09-11 17:29:59.452452
C00177,2023-03-14 17:29:59.452452,5,148.7245336234152,2021-04-29 17:29:59.452452
C00178,2024-02-07 17:29:59.452452,2,145.1084198360008,2023-01-02 17:29:59.452452
C00179,2020-12-06 17:29:59.452452,8,193.39564663398977,2021-12-05 17:29:59.452452
C00180,2024-02-08 17:29:59.452452,4,265.79925043747073,2022-07-22 17:29:59.452452
C00181,2024-07-24 17:29:59.452452,4,125.97066468955217,2023-03-14 17:29:59.452452
C00182,2023-11-17 17:29:59.452452,6,666.1738378907171,2021-05-20 17:29:59.452452
C00183,2021-01-03 17:29:59.452452,7,983.0978958214323,2023-02-24 17:29:59.452452
C00184,2023-06-13 17:29:59.452452,2,90.38100552887683,2023-04-15 17:29:59.452452
C00185,2023-11-12 17:29:59.452452,2,329.3598210287022,2023-12-25 17:29:59.452452
C00186,2023-07-07 17:29:59.452452,6,552.2882547651571,2023-04-24 17:29:59.452452
C00187,2022-12-11 17:29:59.452452,4,380.6606949477348,2023-06-02 17:29:59.452452
C00188,2023-12-12 17:29:59.452452,3,247.99488016734708,2023-06-19 17:29:59.452452
C00189,2024-06-07 17:29:59.452452,2,920.046401931094,2023-01-01 17:29:59.452452
C00190,2024-07-15 17:29:59.452452,1,962.0301327005179,2022-06-14 17:29:59.452452
C00191,2023-12-31 17:29:59.452452,1,519.0967387111206,2021-03-14 17:29:59.452452
C00192,2023-02-20 17:29:59.452452,10,500.83107282732794,2022-06-28 17:29:59.452452
C00193,2022-04-01 17:29:59.452452,3,397.54879476369797,2022-12-21 17:29:59.452452
C00194,2023-08-14 17:29:59.452452,5,369.7130423201652,2022-10-19 17:29:59.452452
C00195,2024-05-11 17:29:59.452452,4,495.4082815901958,2023-08-07 17:29:59.452452
C00196,2024-01-24 17:29:59.452452,2,980.7287386009177,2023-07-26 17:29:59.452452
C00197,2023-07-11 17:29:59.452452,3,551.3030116813176,2022-09-11 17:29:59.452452
C00198,2023-09-26 17:29:59.452452,3,78.43968861974619,2022-05-13 17:29:59.452452
C00199,2023-01-18 17:29:59.452452,4,827.2463493972621,2021-10-06 17:29:59.452452
C00200,2023-10-08 17:29:59.452452,1,841.2790406909014,2021-09-05 17:29:59.452452
C00201,2023-03-16 17:29:59.452452,2,52.2254488847467,2024-08-24 17:29:59.452452
C00202,2024-04-29 17:29:59.452452,3,297.75208589289156,2023-09-05 17:29:59.452452
C00203,2024-09-04 17:29:59.452452,3,511.76139603295223,2022-12-13 17:29:59.452452
C00204,2023-04-17 17:29:59.452452,1,708.2931807815646,2023-09-20 17:29:59.452452
C00205,2023-05-20 17:29:59.452452,2,156.4604246805214,2023-12-18 17:29:59.452452
C00206,2024-06-28 17:29:59.452452,1,856.5271411376294,2023-03-05 17:29:59.452452
C00207,2024-05-26 17:29:59.452452,4,199.17538980232618,2022-12-20 17:29:59.452452
C00208,2022-12-08 17:29:59.452452,2,165.12082387170292,2024-03-16 17:29:59.452452
C00209,2024-02-11 17:29:59.452452,4,188.92135909923965,2024-10-05 17:29:59.452452
C00210,2024-01-31 17:29:59.452452,5,388.2323479836234,2022-10-22 17:29:59.452452
C00211,2023-11-09 17:29:59.452452,8,881.8608415263616,2023-05-25 17:29:59.452452
C00212,2023-03-30 17:29:59.452452,1,166.1670211107939,2021-06-09 17:29:59.452452
C00213,2022-10-18 17:29:59.452452,2,172.02738126248988,2023-11-27 17:29:59.452452
C00214,2024-08-04 17:29:59.452452,8,142.10473728057804,2023-04-26 17:29:59.452452
C00215,2023-07-18 17:29:59.452452,7,163.18877846442263,2024-04-27 17:29:59.452452
C00216,2024-02-02 17:29:59.452452,3,854.569981127527,2024-06-27 17:29:59.452452
C00217,2024-08-04 17:29:59.452452,2,216.50718197584862,2021-12-18 17:29:59.452452
C00218,2023-01-28 17:29:59.452452,8,402.95469976523805,2020-01-07 17:29:59.452452
C00219,2022-10-11 17:29:59.452452,1,85.14642856920572,2023-04-24 17:29:59.452452
C00220,2022-11-13 17:29:59.452452,10,54.89520901351704,2020-11-02 17:29:59.452452
C00221,2023-10-05 17:29:59.452452,9,620.3677389093225,2023-03-31 17:29:59.452452
C00222,2024-08-26 17:29:59.452452,3,796.1802975647012,2024-08-01 17:29:59.452452
C00223,2023-11-07 17:29:59.452452,8,122.39340285693281,2024-07-19 17:29:59.452452
C00224,2024-02-02 17:29:59.452452,2,433.3063825392196,2024-04-19 17:29:59.452452
C00225,2023-11-11 17:29:59.452452,6,399.5961744231137,2022-11-14 17:29:59.452452
C00226,2023-10-24 17:29:59.452452,1,867.4647640844569,2024-06-04 17:29:59.452452
C00227,2021-09-11 17:29:59.452452,2,65.77240017341931,2023-01-14 17:29:59.452452
C00228,2023-11-13 17:29:59.452452,5,264.46553178736906,2021-09-24 17:29:59.452452
C00229,2023-06-28 17:29:59.452452,1,50.18092247494894,2023-04-28 17:29:59.452452
C00230,2023-02-06 17:29:59.452452,8,549.9502712478684,2024-01-23 17:29:59.452452
C00231,2023-02-27 17:29:59.452452,3,70.39411711287175,2024-04-14 17:29:59.452452
C00232,2024-06-12 17:29:59.452452,2,118.90815908800633,2022-10-02 17:29:59.452452
C00233,2024-01-25 17:29:59.452452,2,141.61369381729352,2020-11-18 17:29:59.452452
C00234,2024-07-10 17:29:59.452452,9,155.66385420172776,2024-07-30 17:29:59.452452
C00235,2023-12-14 17:29:59.452452,3,641.664034086237,2023-12-29 17:29:59.452452
C00236,2023-07-27 17:29:59.452452,10,98.47228885879841,2021-11-24 17:29:59.452452
C00237,2024-07-29 17:29:59.452452,1,731.3315982743638,2024-01-18 17:29:59.452452
C00238,2024-06-06 17:29:59.452452,2,769.5305424384075,2023-05-11 17:29:59.452452
C00239,2023-02-09 17:29:59.452452,10,603.3222796571271,2020-10-10 17:29:59.452452
C00240,2024-06-06 17:29:59.452452,2,557.0325853722227,2024-08-01 17:29:59.452452
C00241,2021-11-28 17:29:59.452452,2,592.2480853644834,2022-07-08 17:29:59.452452
C00242,2021-04-20 17:29:59.452452,9,378.772212625586,2023-04-17 17:29:59.452452
C00243,2021-01-12 17:29:59.452452,6,717.9211196199406,2023-08-14 17:29:59.452452
C00244,2023-11-26 17:29:59.452452,5,184.83430451341283,2022-08-12 17:29:59.452452
C00245,2024-05-15 17:29:59.452452,10,370.18655784083444,2023-03-24 17:29:59.452452
C00246,2021-10-05 17:29:59.452452,4,174.2881596571708,2023-07-14 17:29:59.452452
C00247,2024-05-11 17:29:59.452452,9,771.6957917963286,2023-06-01 17:29:59.452452
C00248,2021-12-02 17:29:59.452452,5,961.178317228665,2020-07-12 17:29:59.452452
C00249,2022-01-29 17:29:59.452452,4,192.98980906564336,2022-12-12 17:29:59.452452
C00250,2022-11-04 17:29:59.452452,1,263.8446444625401,2023-08-09 17:29:59.452452
C00251,2024-09-06 17:29:59.452452,9,498.9779511317951,2022-11-05 17:29:59.452452
C00252,2024-09-02 17:29:59.452452,6,217.11911055666087,2022-03-10 17:29:59.452452
C00253,2022-11-27 17:29:59.452452,3,124.90130032781919,2024-08-06 17:29:59.452452
C00254,2023-11-08 17:29:59.452452,6,120.3043907649421,2021-04-06 17:29:59.452452
C00255,2024-05-01 17:29:59.452452,2,318.83520976778726,2022-07-05 17:29:59.452452
C00256,2024-03-29 17:29:59.452452,5,376.63790146476975,2022-08-19 17:29:59.452452
C00257,2021-01-27 17:29:59.452452,8,122.15016742867354,2022-01-01 17:29:59.452452
C00258,2023-02-12 17:29:59.452452,2,201.90815966977124,2023-02-01 17:29:59.452452
C00259,2024-01-14 17:29:59.452452,7,662.1547330438915,2023-03-08 17:29:59.452452
C00260,2024-01-13 17:29:59.452452,2,764.4261033162168,2024-02-22 17:29:59.452452
C00261,2023-07-09 17:29:59.452452,1,236.85981224639536,2022-10-01 17:29:59.452452
C00262,2022-01-10 17:29:59.452452,1,238.7904721681336,2023-01-29 17:29:59.452452
C00263,2023-12-18 17:29:59.452452,2,903.0467983520872,2024-05-25 17:29:59.452452
C00264,2024-05-11 17:29:59.452452,6,120.52469679870029,2021-10-12 17:29:59.452452
C00265,2023-01-09 17:29:59.452452,7,86.39638493232334,2024-01-31 17:29:59.452452
C00266,2023-02-27 17:29:59.452452,1,434.82022693326843,2023-10-12 17:29:59.452452
C00267,2023-06-01 17:29:59.452452,3,319.3665322787007,2024-04-17 17:29:59.452452
C00268,2023-02-12 17:29:59.452452,6,148.1427647103668,2022-12-16 17:29:59.452452
C00269,2023-11-15 17:29:59.452452,5,413.9190747264921,2021-10-02 17:29:59.452452
C00270,2024-05-21 17:29:59.452452,9,938.9292398220432,2023-04-14 17:29:59.452452
C00271,2023-07-16 17:29:59.452452,3,124.14992362376151,2024-06-13 17:29:59.452452
C00272,2022-11-27 17:29:59.452452,10,164.83842454926932,2024-03-17 17:29:59.452452
C00273,2022-11-02 17:29:59.452452,1,60.62781407726849,2023-01-25 17:29:59.452452
C00274,2022-08-06 17:29:59.452452,1,167.87532829979568,2023-03-02 17:29:59.452452
C00275,2024-07-10 17:29:59.452452,9,160.3125894018396,2024-04-09 17:29:59.452452
C00276,2023-10-15 17:29:59.452452,2,350.75497610863397,2022-03-02 17:29:59.452452
C00277,2022-11-24 17:29:59.452452,6,287.10362031168717,2022-12-15 17:29:59.452452
C00278,2023-02-06 17:29:59.452452,5,322.8004779246777,2022-10-12 17:29:59.452452
C00279,2023-01-01 17:29:59.452452,2,398.4386399910349,2023-11-12 17:29:59.452452
C00280,2023-05-04 17:29:59.452452,5,132.7418854111915,2023-09-03 17:29:59.452452
C00281,2023-06-13 17:29:59.452452,6,327.19622507172676,2024-05-16 17:29:59.452452
C00282,2024-06-10 17:29:59.452452,1,270.11358754410037,2023-11-15 17:29:59.452452
C00283,2024-01-25 17:29:59.452452,4,199.78458676535953,2021-10-10 17:29:59.452452
C00284,2024-04-30 17:29:59.452452,7,488.26766010543224,2024-08-27 17:29:59.452452
C00285,2023-11-07 17:29:59.452452,1,103.32758393679477,2022-03-01 17:29:59.452452
C00286,2023-12-31 17:29:59.452452,9,69.0085142804562,2023-05-31 17:29:59.452452
C00287,2024-04-19 17:29:59.452452,1,295.1804699341435,2023-07-17 17:29:59.452452
C00288,2023-10-09 17:29:59.452452,1,118.72552228585529,2021-11-24 17:29:59.452452
C00289,2024-04-24 17:29:59.452452,5,411.218998919233,2024-01-13 17:29:59.452452
C00290,2024-02-20 17:29:59.452452,1,361.9365441170131,2023-08-27 17:29:59.452452
C00291,2024-05-27 17:29:59.452452,9,805.1443012812208,2023-10-26 17:29:59.452452
C00292,2024-03-02 17:29:59.452452,7,482.7268578172349,2024-09-18 17:29:59.452452
C00293,2023-05-12 17:29:59.452452,10,98.19398622982709,2024-06-07 17:29:59.452452
C00294,2024-07-18 17:29:59.452452,6,422.28691943162517,2022-10-07 17:29:59.452452
C00295,2024-06-13 17:29:59.452452,9,188.3570233970153,2022-02-01 17:29:59.452452
C00296,2023-12-26 17:29:59.452452,6,236.83721701143074,2023-02-06 17:29:59.452452
C00297,2023-01-13 17:29:59.452452,4,540.5178495623205,2023-11-03 17:29:59.452452
C00298,2024-03-07 17:29:59.452452,7,149.8784304585008,2023-07-18 17:29:59.452452
C00299,2023-01-27 17:29:59.452452,2,499.03719957324967,2023-01-05 17:29:59.452452
C00300,2023-11-06 17:29:59.452452,5,378.84987569490556,2023-05-27 17:29:59.452452
C00301,2024-07-30 17:29:59.452452,1,64.05375609519173,2023-02-05 17:29:59.452452
C00302,2024-07-11 17:29:59.452452,7,955.667981348151,2022-08-19 17:29:59.452452
